"User","Score.1","Score.2","Score.17","Score.18","Score.25","Score.31","Score.32","Score.34","Score.36","Score.39","Score.41","Score.43","Score.44","Score.47","Score.50","Score.52","Score.55","Score.57","Score.58","Score.62","Score.95","Score.104","Score.110","Score.111","Score.112","Score.117","Score.141","Score.149","Score.150","Score.151","Score.152","Score.154","Score.157","Score.160","Score.162","Score.165","Score.169","Score.170","Score.172","Score.173","Score.176","Score.181","Score.185","Score.186","Score.188","Score.203","Score.204","Score.206","Score.216"
1195,0,0,0,0,0,4,4,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,5,0,5,3,0,3,0,0,0,0,0,0,0,4,0,0
1216,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,0
1233,6,0,0,0,6,0,0,0,0,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,6,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,3,0,0
1283,0,0,6,0,1,6,0,1,0,0,0,0,0,1,5,0,3,0,0,6,0,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,5,0,0,0,0,6,0,0,6,3,0,0,0,4,5,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0
1569,5,0,4,0,3,5,0,6,0,6,0,0,0,0,5,0,0,5,3,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,4,3,3,0,0,5,0,0,0,5,0,0
1602,6,5,6,0,6,0,6,5,6,6,0,0,4,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5,5,0,0,0,5,0,4,4,0,0,3,0,0,5,5,0,0,3,0,0
1624,6,6,5,0,4,6,0,5,6,5,0,0,0,6,5,0,0,4,0,6,0,0,6,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,4
1740,6,6,0,0,0,6,0,6,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,5,0,0,6,0,6,6,0,0,6,5,0,5,0,0,0
1797,6,5,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,3,0,0,0,4,0,0,0,0,0
1812,0,0,0,5,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,6,6,0,0,6,6,0,0,0,1,0,0,0,0,0,5,5,6,1,0,1,0,0,0,0,0
1885,0,5,5,4,0,0,6,6,6,5,6,6,3,6,6,0,0,5,0,5,4,1,0,6,4,0,0,0,6,6,3,0,3,3,5,0,1,3,3,3,5,1,4,1,4,5,3,5,1
1918,6,0,0,0,5,0,5,6,6,0,0,0,0,5,4,0,0,0,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0
1935,0,0,0,0,0,3,0,5,5,0,4,0,0,5,5,5,0,0,4,4,5,0,0,5,0,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
1965,6,5,3,0,6,0,0,6,6,3,0,0,0,4,6,0,0,0,4,6,0,0,5,6,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0
2004,0,5,0,0,0,4,4,0,0,5,0,0,0,4,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,5,4,5,4
2067,4,3,0,4,6,3,6,0,6,0,0,0,0,5,5,5,0,0,0,4,4,0,5,0,6,0,6,0,0,4,0,0,0,0,0,6,0,0,0,0,0,1,5,4,0,5,0,0,4
2073,5,0,0,3,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2109,2,0,6,0,4,0,0,0,0,5,0,2,0,0,0,0,0,0,6,5,0,0,2,0,0,0,0,0,4,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,0,1,5,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,5,1,5,0,0,0,0,0,5,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,4,3,0,0
2138,4,1,6,0,0,0,5,0,0,6,0,0,0,4,0,0,0,0,6,0,0,0,5,6,4,0,6,0,5,2,0,4,0,0,0,3,0,2,2,0,6,0,0,0,0,0,4,6,0
2147,0,0,0,0,0,0,0,5,0,0,0,0,0,6,5,6,0,0,0,5,4,0,6,5,0,0,5,0,6,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0
2184,6,0,6,0,0,4,5,0,0,5,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,4,0,5,0,0,0,0,4,0,3,0,0,3,3,0,0,0,1,4,0,0,0,0
2198,3,0,0,0,0,0,5,6,0,5,0,0,0,5,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,6,2,0,0,0,0,5,5,0,0,0,0,0,2,0,0,5
2220,6,5,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,0,0,0,2,0,5,5,4,0,5,0,0,5,1,0,0,5,0,0
2259,0,4,0,2,0,6,5,0,0,3,6,0,0,6,0,0,0,0,0,4,5,0,6,6,3,0,4,0,6,5,0,0,0,5,0,6,0,4,5,0,0,4,5,0,0,0,4,0,0
2280,6,0,0,0,0,0,4,6,0,0,0,0,0,0,4,0,0,0,0,5,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,0,0,0
2352,0,0,0,0,0,0,5,0,0,4,0,0,3,4,0,4,0,0,0,0,4,0,5,6,4,0,4,0,5,5,0,0,0,0,0,2,0,5,0,0,0,0,5,3,0,0,4,0,0
2448,0,0,6,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,1,0,0,6,0,0,0,5,0,5,0,0,4,5,0,2,4,0,0,1,0,0,0
2487,6,6,0,3,0,0,6,4,5,5,0,0,5,6,5,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,5,0,1,5,0,0,4,6,0,3
2488,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,3,0,5,0,0,0,3,0,6,5,0,0,0,5,0,0,5,0,4,4,0,0,5,5,0,0,6,0,0
2573,0,0,0,0,0,5,6,4,0,5,0,0,0,5,6,0,0,0,0,0,4,0,6,0,5,0,0,0,6,4,0,0,3,0,0,5,0,4,4,0,0,1,5,4,5,0,4,0,0
2619,6,0,4,0,0,0,5,4,0,5,0,0,0,6,5,0,0,0,0,5,0,0,4,0,0,0,4,0,6,5,0,0,0,4,6,0,0,5,0,2,0,0,0,0,0,4,0,0,0
2654,6,5,4,0,5,0,0,6,6,3,0,0,0,0,0,0,0,0,4,5,0,0,5,0,0,0,5,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2
2662,0,4,0,0,0,5,0,6,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0
2754,0,0,0,0,0,4,6,5,6,0,0,0,0,5,6,0,0,5,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,2,6,0,0,0,5,4,0,0,4,0,4,0,0,0,0
2756,4,4,0,0,0,0,5,0,4,3,0,0,0,0,0,0,0,4,0,4,5,0,5,5,0,0,4,0,6,0,0,0,0,0,0,4,0,4,0,4,0,0,4,4,0,0,3,0,0
2989,6,0,6,0,0,1,4,0,5,0,5,0,0,6,6,0,0,0,4,2,5,0,6,5,0,0,0,0,6,5,0,0,1,0,0,5,0,0,0,5,0,0,5,5,0,2,5,0,1
3026,0,3,5,0,5,4,4,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3052,0,6,0,0,4,0,0,6,0,3,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,4,0,0,4,0,0,0,0,0,5,5,0,6,4,0,2
3087,6,0,0,0,0,0,0,0,6,5,0,4,5,6,6,5,0,0,0,0,6,0,5,0,4,0,0,0,5,0,0,4,0,4,4,3,0,0,0,4,6,0,0,3,0,0,0,0,0
3106,5,0,0,0,0,4,0,0,0,1,0,0,3,5,4,3,0,0,0,0,2,0,0,4,0,0,0,0,5,0,0,0,0,4,0,0,0,4,2,0,0,0,3,0,0,0,0,0,0
3180,6,0,0,0,5,4,5,0,0,5,0,0,0,3,6,4,0,4,0,0,4,4,6,6,0,0,6,0,6,6,0,0,0,3,0,2,0,0,0,3,0,0,3,5,0,0,5,0,4
3219,6,0,6,0,0,0,6,0,5,6,6,0,0,0,6,5,0,6,4,5,4,0,5,6,5,0,0,0,6,6,0,2,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0
3232,6,1,0,0,0,0,0,6,6,0,0,0,2,0,0,0,0,0,0,6,0,0,5,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
3319,0,0,0,4,0,0,6,5,6,5,0,0,0,6,6,4,0,0,5,0,2,0,5,5,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0
3332,4,0,0,0,6,0,6,6,5,6,0,0,0,4,6,0,0,2,0,6,4,0,0,5,0,0,0,0,5,4,0,0,0,0,6,4,0,0,0,0,0,0,4,3,0,0,5,0,0
3361,0,0,0,0,6,0,0,5,6,6,0,5,0,6,6,3,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1
3429,0,0,4,0,5,4,6,0,6,0,5,4,0,4,5,5,4,4,0,0,0,5,6,0,4,0,4,0,5,0,0,0,0,1,0,4,0,0,0,0,0,0,1,4,0,0,0,0,0
3492,6,0,0,4,6,0,6,5,6,5,0,0,0,5,6,0,0,5,0,0,5,1,5,6,0,0,6,0,6,5,0,0,0,2,0,3,0,0,1,1,0,0,4,4,0,0,0,0,1
3549,0,0,0,0,6,0,5,0,0,0,0,0,3,5,0,0,0,0,0,0,5,1,6,6,5,0,1,0,5,4,5,0,0,2,0,0,0,0,4,4,5,0,4,0,0,0,0,0,1
3592,4,5,3,0,0,4,2,3,4,5,0,0,0,1,0,0,0,0,3,5,5,0,6,0,0,0,6,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,4,0,0,4,0,0
3622,6,0,0,5,0,0,5,1,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,4,0,5,0,0,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,1
3737,0,0,6,0,0,0,5,5,5,0,0,0,0,5,5,6,0,0,0,0,0,0,5,5,0,0,4,0,5,4,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0
3826,6,0,0,0,0,3,0,5,0,0,0,0,0,6,6,0,0,5,0,6,0,0,0,0,0,0,0,0,5,5,0,0,4,3,0,5,4,0,3,3,0,0,0,0,0,5,0,0,5
4096,0,5,2,6,6,0,6,0,3,3,5,6,4,0,6,4,0,0,0,5,0,4,6,6,0,6,0,0,0,3,0,0,0,4,0,0,0,4,5,0,5,0,1,0,5,2,4,0,4
4125,3,1,1,0,4,0,4,5,0,0,1,0,0,5,5,0,0,3,1,4,1,4,6,0,4,0,2,0,3,3,0,0,0,0,0,4,0,0,2,1,0,0,0,2,0,1,1,0,4
4129,0,0,0,0,0,5,5,0,5,0,0,0,5,5,0,0,0,0,0,0,4,0,6,0,0,0,0,0,5,0,0,0,0,1,0,5,0,0,0,4,0,0,0,0,5,0,4,0,3
4203,6,6,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,5,0,1,0,4,0,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,3,0,5,0,0,2
4209,5,3,4,0,1,6,1,1,4,1,2,0,1,0,0,1,0,0,0,6,4,3,5,0,1,0,3,0,6,0,0,0,0,1,0,0,3,2,0,1,0,1,4,4,0,0,0,0,3
4213,5,0,5,0,0,5,0,6,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,6,4,0,0,2,0,0,6,0,0,0,6,0,0
4214,4,0,3,4,3,0,4,3,0,5,4,0,1,5,6,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,4,2,6,0,0,0,0,0,2,0,0
4336,0,3,0,0,0,2,6,0,0,4,4,0,1,5,6,5,0,0,6,3,4,0,6,5,5,0,1,0,4,0,0,0,0,1,0,0,1,2,0,3,0,0,1,0,0,1,1,0,0
4348,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,6,3,1,0,0,0,0,0,0,0,1,0,1,5,3,5,0,0,0,1,4,0,1,4,1,0,1
4365,5,0,0,0,6,4,6,0,4,3,0,0,3,6,6,0,0,0,0,5,0,4,6,5,0,0,5,0,4,0,0,0,0,2,0,4,0,3,3,3,0,0,4,5,0,0,2,0,5
4453,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,4,0,5,1,0,1,5,5,0,0,0,6,4,5,0,1,6,5,4,5,0,0,6
4553,0,1,0,4,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,0,1,0,0,5,0,0,0,0,0,5,1,4,1,0,0,1,0,0,0,0,0,0,1
